num_location,num_type_of_university,length_of_college_in_years,num_specified_type,on_campus,residence_halls,noncampus_property,public_property
4,1,2,20,1,0,0,1
0,0,4,0,0,1,0,1
0,0,4,1,0,0,0,0
0,0,4,2,47,34,0,0
0,0,4,3,0,0,0,3
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,2,1,0,13
0,0,4,7,11,11,0,0
0,0,4,8,4,2,0,1
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,7,0,0
0,0,4,12,24,23,0,0
0,0,4,13,25,14,0,0
0,0,4,14,0,1,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,1,0,0
0,0,4,17,0,0,0,0
0,0,4,18,160,159,0,0
0,0,4,19,181,181,0,0
0,0,4,20,5,4,0,0
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,1
0,0,4,2,4,1,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,6
0,0,4,7,5,5,0,0
0,0,4,8,4,4,0,6
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,2,2,0,0
0,0,4,12,6,5,0,0
0,0,4,13,11,6,0,1
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,136,134,0,0
0,0,4,19,873,873,0,0
0,0,4,20,0,0,0,0
2,0,4,0,1,0,0,0
2,0,4,1,0,0,0,0
2,0,4,2,0,0,0,0
2,0,4,3,0,0,0,0
2,0,4,4,0,0,0,0
2,0,4,5,0,0,0,0
2,0,4,6,0,0,0,5
2,0,4,7,0,0,0,0
2,0,4,8,1,1,0,0
2,0,4,9,0,0,0,0
2,0,4,10,0,0,0,0
2,0,4,11,0,0,0,0
2,0,4,12,0,0,0,0
2,0,4,13,1,1,0,0
2,0,4,14,0,0,0,0
2,0,4,15,0,0,0,0
2,0,4,16,0,0,0,0
2,0,4,17,0,0,0,0
2,0,4,18,13,10,0,0
2,0,4,19,46,46,0,0
2,0,4,20,0,0,0,0
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,0
0,0,4,2,1,1,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,1
0,0,4,7,1,1,0,0
0,0,4,8,0,0,0,0
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,0,0,0
0,0,4,12,2,2,0,0
0,0,4,13,0,0,0,0
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,32,32,0,0
0,0,4,19,102,102,0,0
0,0,4,20,0,0,0,0
0,0,4,0,0,0,0,0
0,0,4,1,0,0,0,0
0,0,4,2,0,0,0,0
0,0,4,3,0,0,0,0
0,0,4,4,0,0,0,0
0,0,4,5,0,0,0,0
0,0,4,6,0,0,0,0
0,0,4,7,0,0,0,0
0,0,4,8,0,0,0,0
0,0,4,9,0,0,0,0
0,0,4,10,0,0,0,0
0,0,4,11,0,0,0,0
0,0,4,12,0,0,0,0
0,0,4,13,0,0,0,0
0,0,4,14,0,0,0,0
0,0,4,15,0,0,0,0
0,0,4,16,0,0,0,0
0,0,4,17,0,0,0,0
0,0,4,18,0,0,4,0
0,0,4,19,1,0,5,0
0,0,4,20,0,0,0,0
2,1,4,0,0,0,0,1
2,1,4,1,0,0,0,0
